Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,0.5,30,1,0,0,0.21084,0.28314,0,0,0.21084,0.28314
0.01,0.5,30,1,1,1,0.21084,0.28314,1,0,0.21084,0.28314
0.01,0.5,31,0,0,0,0.21084,0.28314,0,0,0.21084,0.28314
0.01,0.5,31,0,1,0,0.21084,0.28314,1,-1,0.21084,0.27314
0.01,0.5,31,1,0,0,0.21084,0.27314,0,0,0.21084,0.27314
0.01,0.5,31,1,1,1,0.21084,0.27314,1,0,0.21084,0.27314
0.01,0.5,32,0,0,0,0.21084,0.27314,0,0,0.21084,0.27314
0.01,0.5,32,0,1,0,0.21084,0.27314,1,-1,0.21084,0.26314
0.01,0.5,32,1,0,0,0.21084,0.26314,0,0,0.21084,0.26314
0.01,0.5,32,1,1,1,0.21084,0.26314,1,0,0.21084,0.26314
0.01,0.5,33,0,0,0,0.21084,0.26314,0,0,0.21084,0.26314
0.01,0.5,33,0,1,0,0.21084,0.26314,0,0,0.21084,0.26314
0.01,0.5,33,1,0,0,0.21084,0.26314,0,0,0.21084,0.26314
0.01,0.5,33,1,1,1,0.21084,0.26314,1,0,0.21084,0.26314
0.01,1.0,1,0,0,0,0.49084,0.58314,1,-1,0.49084,0.58314
0.01,1.0,1,0,1,0,0.49084,0.58314,1,-1,0.49084,0.57314
0.01,1.0,1,1,0,0,0.49084,0.57314,1,-1,0.48084,0.57314
0.01,1.0,1,1,1,1,0.48084,0.57314,1,0,0.48084,0.57314
0.01,1.0,2,0,0,0,0.48084,0.57314,1,-1,0.48084,0.57314
0.01,1.0,2,0,1,0,0.48084,0.57314,1,-1,0.48084,0.56314
0.01,1.0,2,1,0,0,0.48084,0.56314,1,-1,0.47084,0.56314
0.01,1.0,2,1,1,1,0.47084,0.56314,1,0,0.47084,0.56314
0.01,1.0,3,0,0,0,0.47084,0.56314,1,-1,0.47084,0.56314
0.01,1.0,3,0,1,0,0.47084,0.56314,1,-1,0.47084,0.55314
0.01,1.0,3,1,0,0,0.47084,0.55314,1,-1,0.46084,0.55314
0.01,1.0,3,1,1,1,0.46084,0.55314,1,0,0.46084,0.55314
0.01,1.0,4,0,0,0,0.46084,0.55314,1,-1,0.46084,0.55314
0.01,1.0,4,0,1,0,0.46084,0.55314,1,-1,0.46084,0.54314
